state,confirmed,deceased,recovered,tested,vaccinated1,vaccinated2
AN,7651.0,129.0,7518.0,598033.0,294001.0,200157.0
AP,2066450.0,14373.0,2047722.0,29518787.0,32976969.0,20375181.0
AR,55155.0,280.0,54774.0,1185436.0,771875.0,534486.0
AS,610645.0,5997.0,600974.0,24712042.0,20172463.0,8068795.0
BR,726098.0,9661.0,716390.0,50531824.0,49874828.0,18346781.0
CH,65351.0,820.0,64495.0,792851.0,926035.0,546981.0
CT,1006052.0,13577.0,992159.0,13709510.0,14851682.0,7343273.0
DL,1439870.0,25091.0,1414431.0,29427753.0,13055636.0,7425404.0
DN,10681.0,4.0,10644.0,72410.0,660753.0,370255.0
GA,178108.0,3364.0,174392.0,1468399.0,1262568.0,911114.0
GJ,826577.0,10089.0,816283.0,30928063.0,44735217.0,25972387.0
HP,224106.0,3738.0,218410.0,3685011.0,5713695.0,3443823.0
HR,771252.0,10049.0,761068.0,13032504.0,17772376.0,8115463.0
JH,348764.0,5138.0,343518.0,15985878.0,14986646.0,5585648.0
JK,332249.0,4432.0,326915.0,16202346.0,9511073.0,5149471.0
KA,2988333.0,38082.0,2941578.0,50873103.0,42497761.0,22858384.0
KL,4968657.0,31681.0,4857181.0,37886378.0,25306499.0,13658343.0
LA,20962.0,208.0,20687.0,555568.0,208798.0,152280.0
LD,10365.0,51.0,10270.0,263541.0,55129.0,45951.0
MH,6611078.0,140216.0,6450585.0,62667211.0,67198794.0,30975692.0
ML,83627.0,1450.0,81746.0,1151665.0,1103275.0,641819.0
MN,123731.0,1921.0,121102.0,1367673.0,1249436.0,719413.0
MP,792854.0,10524.0,782215.0,20294225.0,49911938.0,20838045.0
MZ,121359.0,432.0,114612.0,1298444.0,711597.0,512029.0
NL,31842.0,685.0,29904.0,395416.0,709553.0,490663.0
OR,1041457.0,8386.0,1029147.0,21994343.0,25736641.0,11560912.0
PB,602401.0,16559.0,585591.0,15429415.0,15942714.0,6238973.0
PY,128013.0,1857.0,125726.0,1919060.0,733922.0,404355.0
RJ,954429.0,8954.0,945443.0,14807752.0,42544909.0,20097635.0
SK,31979.0,396.0,31063.0,261343.0,521763.0,451509.0
TG,671463.0,3956.0,663498.0,27569831.0,22498559.0,9772398.0
TN,2702623.0,36116.0,2655015.0,51159242.0,41279432.0,17619141.0
TR,84468.0,813.0,83466.0,1983127.0,2508477.0,1621329.0
TT,34285612.0,458470.0,33661339.0,609201294.0,732371508.0,330752697.0
UP,1710158.0,22900.0,1687151.0,83635222.0,98178865.0,32681895.0
UT,343896.0,7400.0,330195.0,7781148.0,7478017.0,3898342.0
WB,1592908.0,19141.0,1565471.0,19228303.0,56192166.0,21559747.0
